"Code GCR","Series","Armenia"
"1.01","1.01 Property rights, 1-7 (best)",4.398590088
"1.02","1.02 Intellectual property protection, 1-7 (best)",4.006361008
"A.01.01.01","1. Property rights",4.26784706133333
"1.03","1.03 Diversion of public funds, 1-7 (best)",3.658169508
"1.04","1.04 Public trust in politicians, 1-7 (best)",3.231405497
"1.05","1.05 Irregular payments and bribes, 1-7 (best)",4.1193157196
"A.01.01.02","2. Ethics and corruption",3.66963024153333
"1.06","1.06 Judicial independence, 1-7 (best)",3.320427179
"1.07","1.07 Favoritism in decisions of government officials, 1-7 (best)",3.370867014
"A.01.01.03","3. Undue influence",3.3456470965
"1.08","1.08 Efficiency of government spending, 1-7 (best)",3.293333292
"1.09","1.09 Burden of government regulation, 1-7 (best)",3.731478453
"1.10","1.10 Efficiency of legal framework in settling disputes, 1-7 (best)",3.634554625
"1.11","1.11 Efficiency of legal framework in challenging regs., 1-7 (best)",3.402527809
"1.12","1.12 Transparency of government policymaking, 1-7 (best)",4.337033749
"A.01.01.04","4. Government efficiency",3.6797855856
"1.13","1.13 Business costs of terrorism, 1-7 (best)",5.669682026
"1.14","1.14 Business costs of crime and violence, 1-7 (best)",5.204592228
"1.15","1.15 Organized crime, 1-7 (best)",5.004936218
"1.16","1.16 Reliability of police services, 1-7 (best)",4.428416729
"A.01.01.05","5. Security",5.07690680025
"A.01.01","A. Public institutions",4.00796335704333
"1.17","1.17 Ethical behavior of firms, 1-7 (best)",4.035210133
"A.01.02.01","1. Corporate ethics",4.035210133
"1.18","1.18 Strength of auditing and reporting standards, 1-7 (best)",4.487151623
"1.19","1.19 Efficacy of corporate boards, 1-7 (best)",4.649406433
"1.20","1.20 Protection of minority shareholders’ interests, 1-7 (best)",3.786661386
"1.21","1.21 Strength of investor protection, 0–10 (best)*",4.80952380952381
"A.01.02.02","2. Accountability",4.3808048605
"A.01.02","B. Private institutions",4.20800749675
"A.01","1st pillar: Institutions",4.05797439197
"2.01","2.01 Quality of overall infrastructure, 1-7 (best)",4.277628899
"2.02","2.02 Quality of roads, 1-7 (best)",3.668819189
"2.03","2.03 Quality of railroad infrastructure, 1-7 (best)",2.850431681
"2.04","2.04 Quality of port infrastructure, 1-7 (best)",2.481768847
