data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7730472,51,ARM5117,5117,"05 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)","National Democratic Axis",6,,,0,60,"Caucasus and Central Asia",Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,A1+,National,"On 5 March 2021, National Democratic Axis protested and marched in Yerevan, Armenia calling against both the current government and the opposition due to the ongoing political crisis in Armenia. [size=no report]",0,1615233675,ARM
7730530,51,ARM5118,5118,"05 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)",,6,,,0,60,"Caucasus and Central Asia",Armenia,Shirak,Akhuryan,,Gyumri,40.7847,43.8416,1,Factor,National,"On 5 March 2021, relatives of war prisoners that are from the Shirak region protested in front of the Shirak Province Administration building in Gyumri, Armenia demanding the government to give them an exact timing of when their children will get back to Armenia as well as asking for another meeting with the Prime Minister. As part of the protest, they did not let the staff of the Shirak Province Administration enter the building. No clashes were reported. [size=no report]",0,1615233675,ARM
7730469,51,ARM5116,5116,"04 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Azerbaijan)","Refugees/IDPs (Azerbaijan)",6,,,0,60,"Caucasus and Central Asia",Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,A1+,National,"On 4 March 2021, a local NGO and displaced residents from Hadrut, Shushi and Kashatagh (Azerbaijan) marched and protested in front of the US, Russian and French embassies in Yerevan, Armenia calling the representatives of those countries to help Armenia to resolve the issue of lost territories and displaced population. [size=no report]",0,1615233675,ARM
7730470,51,ARM5115,5115,"04 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)","National Democratic Axis",6,,,0,60,"Caucasus and Central Asia",Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,A1+,National,"On 4 March 2021, National Democratic Axis protested and marched in Yerevan, Armenia calling against both the current government and the opposition due to the ongoing political crisis in Armenia. [size=no report]",0,1615233675,ARM
7730531,51,ARM5114,5114,"03 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)",,6,,,0,60,"Caucasus and Central Asia",Armenia,Shirak,Akhuryan,,Gyumri,40.7847,43.8416,1,Factor,National,"On 3 March 2021, relatives of war prisoners that are from the Shirak region protested in front of the Shirak Province Administration building in Gyumri, Armenia demanding the government to give them an exact timing of when their children will get back to Armenia as well as asking for another meeting with the Prime Minister. [size=no report]",0,1615233675,ARM
7730532,51,ARM5112,5112,"03 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)","National Democratic Axis",6,,,0,60,"Caucasus and Central Asia",Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,Factor,National,"On 3 March 2021, National Democratic Axis protested and marched in Yerevan, Armenia calling against both the current government and the opposition due to the ongoing political crisis in Armenia. [size=no report]",0,1615233675,ARM
7730555,51,ARM5113,5113,"03 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)",,6,,,0,60,"Caucasus and Central Asia",Armenia,Tavush,Dilidjan,,Dilijan,40.7402,44.8658,1,"News Am",National,"On 3 March 2021, activists protested and blocked one of the main streets in Dilijan, Armenia, to show their support to the Military Forces of the Republic of Armenia. Prior to that protesters called Prime Minister and his cabinet to resign due to the ongoing political crisis in Armenia. [size=no report]",0,1615233675,ARM
7730557,51,ARM5111,5111,"03 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)","Homeland Salvation Movement; HHK: Republican Party of Armenia; Homeland Party; ARFD: Armenian Revolutionary Federation; BHK: Prosperous Armenia Party",6,,,0,60,"Caucasus and Central Asia",Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,"News Am",National,"On 3 March 2021, Homeland Salvation Movement organized a protest in front of the Parliament building in Yerevan, Armenia demanding the resignation of the Prime Minister and his cabinet due to the ongoing political crisis in Armenia. [size=no report]",0,1615233675,ARM
7730463,51,ARM5110,5110,"02 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)",,6,,,0,60,"Caucasus and Central Asia",Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,"Caucasian Knot; A1+; Panorama Am",National-International,"On 2 March 2021, supporters of the second president of Armenia protested in front of the courthouse where his trial was taking place in Yerevan, Armenia calling the court to close the case against him. Earlier in the day, the activists blocked Arshakunyac Street in Yerevan, Armenia, and then marched to the courthouse. [size=no report]",0,1615233675,ARM
7730533,51,ARM5109,5109,"02 March 2021",2021,1,Protests,"Peaceful protest","Protesters (Armenia)","National Democratic Axis",6,,,0,60,"Caucasus and Central Asia",Armenia,Yerevan,Yerevan,,Yerevan,40.1811,44.5136,1,Hraparak,National,"On 2 March 2021, National Democratic Axis protested in Yerevan, Armenia calling against both the current government and the opposition due to the ongoing political crisis in Armenia. Protesters also proposed their views regarding how Armenia should get out of the current crisis. [size=no report]",0,1615233675,ARM
